Cage,Genotype,Left.ear.tag,Right.ear.tag,Parentage,RFID.Tag,Location,Wedge,Sex,Infected,Lost.RFID.1,Lost.RFID.2,Missing.1,Missing.2,Uncaptured
18,129,103,791,G461,48 55 50 56 57 55,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,104,7096,G459,49 51 48 50 55 51,SF,2,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
19,129,106,7091,G455,49 50 55 56 50 54,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,108,7089,G455,49 50 55 56 48 56,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
20,129,109,7100,G430,48 54 51 55 49 54,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
20,129,110,7097,G430,48 55 50 56 53 57,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,111,7099,G430,48 54 51 55 56 50,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,114,7102,G458,49 51 48 51 48 51,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,117,7092/5989,G455,49 51 48 51 55 50,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,118,7094,G455,49 51 48 50 57 55,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,120,7107,G457,49 48 57 57 55 53,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,122,7108,G457,48 54 51 55 54 50,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,123,5990,G457,49 51 48 50 55 49,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
12,PWK,302,7114/499,G648,49 48 57 57 53 49,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
12,PWK,304,7116,G647,49 51 48 51 51 52,SF,3,Female,N,TRUE,TRUE,FALSE,FALSE,FALSE
13,PWK,305,7121,G643,49 51 48 50 54 54,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
13,PWK,307,5981,G652,49 51 48 50 55 50,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
13,PWK,309,7132/498,G652,49 51 48 50 56 56,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,PWK,310,5982/497,G651,48 54 51 55 48 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,PWK,311,5983,G651,48 55 50 56 56 48,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
15,PWK,314,7113,G648,49 51 48 51 54 51,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
15,PWK,315,7109/484/491,G646,49 51 48 51 56 57,SF,3,Female,N,FALSE,FALSE,FALSE,TRUE,TRUE
15,PWK,316,5985/496,G646,49 51 48 50 56 55,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,317,7126,G644,48 54 49 48 53 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,318,7127/495,G644,48 54 51 55 48 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,320,7124,G643,49 50 55 56 54 53,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
17,PWK,322,5987,G645,48 54 51 55 51 55,SF,3,Female,N,FALSE,FALSE,FALSE,TRUE,TRUE
17,PWK,324,7120/494,G649,48 54 51 55 48 51,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
17,PWK,360,5988/493,G645,48 54 51 55 48 54,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,273,7065,G570,49 51 48 51 49 55,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,274,7064,G570,49 51 48 50 57 48,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,275,7134,G570,49 51 48 50 50 48,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
23,C57,277,7073,G569,49 51 48 50 53 54,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
23,C57,278,7077/490,G569,49 51 48 50 48 51,SF,4,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
23,C57,280,7088,G569,49 51 48 51 52 49,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
24,C57,282,7082,G551,49 51 48 51 49 57,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
24,C57,283,7080/486,G551,49 51 48 50 53 50,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
24,C57,284,7081,G551,49 51 48 50 53 51,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
25,C57,287,7069,G576,49 51 48 50 51 55,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
25,C57,288,7067,G576,49 51 48 51 52 52,SF,4,Female,Y,FALSE,TRUE,FALSE,FALSE,FALSE
25,C57,289,7071,G565,49 51 48 51 50 56,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
26,C57,291,7083,G567,49 51 48 50 57 50,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
26,C57,292,7086,G571,49 51 48 51 51 57,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
26,C57,294,7087,G565,49 51 48 51 54 54,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
27,C57,297,7061,G562,49 51 48 50 54 49,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
27,C57,298,7060,G562,49 51 48 51 57 50,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
27,C57,300,7058,G562,49 51 48 50 50 57,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
